price_total,room_type,is_shared_room,is_private_room,max_guests,is_superhost,is_multi_listing,is_business_listing,cleanliness_score,guest_satisfaction_score,num_bedrooms,distance_city_center,distance_metro,attraction_index,restaurant_index,longitude,latitude,city,district,state,country_name,Crime_Index,Safety_Index,Monthly_Average_Net_salary
414.2539193,Private room,0,1,2,1,1,0,9,95,1,0.773681341,0.205524086,198.6718484,341.1879731,16.37103,48.21526,Vienna,Wien Stadt,Vienna,Austria,28.4,71.6,3135.2
1596.290258,Entire home/apt,0,0,4,1,0,0,6,90,1,1.541695277,0.239107863,542.0859543,1493.721626,-0.14696,51.51501,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
202.0536581,Entire home/apt,0,0,2,0,0,1,10,98,1,2.167547453,0.409208021,120.5668545,250.5862953,19.07512,47.48515,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
889.7584049,Private room,0,1,4,1,1,0,8,78,1,0.459585714,0.233192616,1286.957713,1404.61899,2.17544,41.38779,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
334.6315783,Private room,0,1,2,1,1,0,9,91,1,0.975483262,0.315066991,796.0173913,4542.75415,2.17651,41.37984,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
249.6529327,Entire home/apt,0,0,3,1,1,0,10,95,0,4.308149505,0.156737304,108.3196088,105.0433248,16.3277,48.18491,Vienna,Wien Stadt,Vienna,Austria,28.4,71.6,3135.2
326.580316,Private room,0,1,2,1,0,1,9,88,1,0.965685221,0.370508704,789.971221,1833.651776,2.17763,41.3806,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
320.7562614,Private room,0,1,2,1,0,1,10,100,1,4.993828401,0.386323964,134.0966966,170.5796685,13.361,52.494,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
249.8622408,Entire home/apt,0,0,2,1,0,1,8,85,0,1.321935335,0.308489984,1062.499149,1930.766631,12.48968,41.89356,Rome,Citta metropolitana di Roma Capitale,Latium,Italy,47.3,52.7,1863.9
865.1535202,Entire home/apt,0,0,3,1,0,1,10,85,1,4.188508623,0.459495568,397.9232504,721.114547,-0.06752,51.51228,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
606.0990992,Entire home/apt,0,0,4,0,0,0,10,99,1,1.715853591,0.283210497,971.8062138,1867.943678,12.482,41.904,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
501.459545,Private room,0,1,2,0,0,1,10,100,1,2.002505187,0.282310787,142.505145,212.4910577,13.40855,52.54075,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
294.0381629,Entire home/apt,0,0,2,0,1,0,10,99,1,4.123432139,0.311365494,71.48235059,98.61585758,13.47403,52.5114,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
172.6011688,Entire home/apt,0,0,2,1,1,0,9,94,1,2.569763279,1.24991562,1027.87529,2822.96747,12.47136,41.89924,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
180.3990438,Entire home/apt,0,0,2,1,0,1,9,93,1,1.374727193,0.424284299,161.7618194,403.0116353,19.06729,47.48992,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
576.6791688,Entire home/apt,0,0,2,0,0,0,10,98,1,1.949153881,0.218363632,924.9354723,1038.97756,2.32631,48.85834,Paris,Paris,Ile-de-France,France,58,42,3305.14
398.9187199,Private room,0,1,2,1,0,0,9,86,1,2.098064329,0.105543942,267.2387533,715.0744104,2.38132,48.8574,Paris,Paris,Ile-de-France,France,58,42,3305.14
185.3623002,Entire home/apt,0,0,4,1,0,1,10,95,1,2.518602679,1.250540538,649.8251436,1862.954308,12.47561,41.89001,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
182.9375409,Entire home/apt,0,0,5,1,0,0,10,100,2,3.532354581,0.106681035,51.64760333,76.62407588,23.71301,38.00199,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
730.2443853,Entire home/apt,0,0,4,1,0,1,9,93,1,1.792903502,0.207365509,619.9989172,1350.342934,2.33525,48.86783,Paris,Paris,Ile-de-France,France,58,42,3305.14
250.1078231,Private room,0,1,2,1,0,1,10,94,1,0.319689041,0.189019602,575.5040826,864.9797945,19.05495,47.50139,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
195.2028348,Entire home/apt,0,0,4,1,1,0,10,96,1,3.628800132,0.941762322,77.31565882,132.2786632,19.04951,47.46607,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
158.6128174,Private room,0,1,2,1,0,0,9,100,1,2.189256869,0.439290286,139.9167969,235.0086605,16.34629,48.20124,Vienna,Wien Stadt,Vienna,Austria,28.4,71.6,3135.2
421.2795622,Entire home/apt,0,0,2,1,0,0,10,100,1,6.998036822,0.197961823,93.64721787,193.0109656,13.32388,52.49587,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
216.0273592,Private room,0,1,2,0,1,0,10,96,1,2.475339499,0.27567385,351.495232,584.4612873,2.14767,41.37251,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
1359.727735,Entire home/apt,0,0,6,1,0,0,10,100,3,2.692779279,0.157473312,225.2062761,610.9062975,2.38908,48.85312,Paris,Departement du Val-de-Marne,Ile-de-France,France,58,42,3305.14
874.9217493,Entire home/apt,0,0,3,1,0,1,9,98,1,0.477340286,0.176004723,290.8129762,725.3672036,19.05049,47.49509,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
